domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,0,1.118710660660618,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,1,2.0806155925083165,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,2,3.1889160898314275,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,3,4.244354766357195,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,4,4.9342442260687225,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,5,6.098617719428067,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,6,6.182810155096235,0.0,ok
square,N1curl,grad,1.0,0,64,0.7853981633974483,0.7853981633974483,145.0,7,8.663539125825924,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,0,1.1308468222865917,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,1,2.1217771567173136,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,2,3.2497323162713245,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,3,4.290975606281721,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,4,5.229107058256133,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,5,6.358406874079116,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,6,6.376172568762658,0.0,ok
square,N1curl,grad,1.0,1,256,0.39269908169872414,0.39269908169872414,545.0,7,9.326954822473022,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,0,1.133797225393156,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,1,2.131558752360566,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,2,3.2646280900908877,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,3,4.302023371438452,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,4,5.28737760634554,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,5,6.420139185574959,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,6,6.4244822593455515,0.0,ok
square,N1curl,grad,1.0,2,1024,0.1963495408493623,0.1963495408493623,2113.0,7,9.322306588113225,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,0,1.134530320413115,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,1,2.133972646427608,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,2,3.2683212129128645,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,3,4.304767111732538,0.0,ok
square,N1curl,grad,1.0,3,4096,0.09817477042468159,0.09817477042468159,8321.0,4,5.301156128496335,0.0,ok
